date;ru_exchange;ru_gap;ru_gdp;ru_inflation;ru_interest;ru_m1;us_gap;us_gdp;us_inflation;us_interest;us_m1
2008-10-01;26,5430;1,019841945626366;11405651,00000079;86,31902;11,00;3962200000000;0,964655778363696;3698359,99999964;99,3201272153190;4,32;1,46260e+12
2008-11-01;27,6060;0,904390259850538;10420860,72117141;87,03547;12,00;3793100000000;0,965110634797492;3647337,15554001;97,4178592147412;2,36;1,51370e+12
2008-12-01;29,3804;0,939714257466642;11074244,06122308;87,63602;13,00;3794800000000;0,943817929769444;3582487,67931534;96,4103175567688;1,77;1,63230e+12
2009-01-01;35,4146;0,874442627938103;8952169,89999991;89,71299;13,00;3312700000000;0,926063758918934;3522117,00000025;96,8299354980727;1,02;1,58070e+12
2009-02-01;35,7205;0,901204530050670;9548836,45086316;91,19325;13,00;3301600000000;0,921881419294279;3567835,07801833;97,3114642831756;1,16;1,55200e+12
2009-03-01;34,0134;0,878054385488449;10443342,55253282;92,38789;13,00;3278300000000;0,919973051351537;3597427,31083848;97,5481012861404;1,07;1,59490e+12
2009-04-01;33,2491;0,869285924103986;9929805,00000058;93,02536;12,50;3410100000000;0,912848649650727;3598009,99999910;97,7916172717496;0,89;1,62770e+12
2009-05-01;30,9843;0,858293226272499;10045098,53572135;93,55560;12,00;3461900000000;0,907883638564346;3608944,15527822;98,0741141590100;0,57;1,61790e+12
2009-06-01;31,2904;0,879684227194672;10796699,25879266;94,11694;11,50;3522500000000;0,917287890665974;3647570,35817180;98,9165602335185;0,39;1,66170e+12
2009-07-01;31,7555;0,881983741280843;11182739,90000027;94,70988;11,00;3550100000000;0,903617315133039;3623204,00000015;98,7597194292279;0,35;1,65760e+12
2009-08-01;31,5687;0,857299954558418;11002857,71650313;94,70988;10,75;3506600000000;0,908794472258110;3700963,90988665;98,9812226703752;0,30;1,65130e+12
2009-09-01;30,0922;0,888125650378310;11459283,33052376;94,68147;10,00;3485600000000;0,913104915769954;3720213,91605170;99,0431335141741;0,25;1,64100e+12
2009-10-01;29,0488;0,869309169352392;11617843,10000026;94,68147;9,50;3566700000000;0,927422272679111;3734737,99999977;99,1385220735088;0,24;1,66430e+12
2009-11-01;29,8179;0,883241700861561;12100253,25726736;94,95604;9,00;3600100000000;0,926829475229687;3695754,02784295;99,2086876964809;0,21;1,68310e+12
2009-12-01;30,2442;0,957606356091499;13164817,48281132;95,34536;8,75;4038100000000;0,917044794696769;3635431,28660335;99,0339615373150;0,22;1,72440e+12
2010-01-01;30,4312;0,884946554714918;10736372,99999952;96,90903;8,75;3873300000000;0,905897237007721;3602417,99999986;99,3724074834159;0,20;1,67420e+12
2010-02-01;29,9484;0,854410091842711;11159918,30724899;97,74244;8,50;3950000000000;0,904149069972452;3644081,71683069;99,3971718209355;0,19;1,68520e+12
2010-03-01;29,3638;0,895579852576502;12504087,78999611;98,35822;8,25;3986100000000;0,918365820940148;3725758,92225572;99,8053247911655;0,23;1,72950e+12
2010-04-01;29,2886;0,859676825946034;11790355,70000030;98,64346;8,25;4181000000000;0,919586027382262;3755369,99999985;99,9786751538026;0,30;1,71600e+12
2010-05-01;30,4956;0,856134247765682;12056702,47576067;99,13667;7,75;4240300000000;0,923480967298260;3797918,97373596;100,0561783582620;0,45;1,70820e+12
2010-06-01;31,1954;0,872950083903209;12837510,05014497;99,52331;7,75;4367700000000;0,937388835788518;3848138,85423272;99,9584968047126;0,52;1,73230e+12
2010-07-01;30,1869;0,850882938472387;12981985,19999943;99,88159;7,75;4467300000000;0,917640188530603;3793866,99999991;99,9795923514885;0,41;1,71840e+12
2010-08-01;30,6640;0,894185162953983;13389294,98509571;100,43090;7,75;4477800000000;0,922300422548943;3869004,94710238;100,1176306032180;0,32;1,73960e+12
2010-09-01;30,4030;0,922814171182501;13810133,22572693;101,27460;7,75;4524500000000;0,929837519108045;3881784,15188220;100,1758726562730;0,28;1,74140e+12
2010-10-01;30,7821;0,981963739809798;14230961,49999985;101,78090;7,75;4590000000000;0,940979958852170;3897314,99999996;100,3006115415570;0,27;1,76740e+12
2010-11-01;31,3061;1,085499850703439;14853348,19508206;102,60540;7,75;4621500000000;0,943100565096423;3842785,46133704;100,3428026351090;0,27;1,82870e+12
2010-12-01;30,4769;1,128589446601181;15814194,78715628;103,71350;7,75;5062700000000;0,942057249878144;3801549,49192326;100,5152358000600;0,30;1,87140e+12
2011-01-01;29,6684;1,055834270583464;13024799,49999919;106,17150;7,75;4830700000000;0,937536158620479;3764834,99999983;100,9940129921050;0,29;1,85560e+12
2011-02-01;28,9405;1,028569470176963;13454198,50599073;106,99960;5,25;4898000000000;0,938093821806140;3811290,37897623;101,4920513355540;0,28;1,85870e+12
2011-03-01;28,4290;1,047505341137604;14722992,45694894;107,66300;5,25;4918200000000;0,957312529913168;3889924,36634808;102,4817076386520;0,28;1,90940e+12
2011-04-01;27,5022;1,058456756641920;14434822,29999960;108,12600;5,25;5071300000000;0,953693627741403;3893028,00000000;103,1416313736640;0,23;1,91800e+12
2011-05-01;28,0685;1,072945870467326;14817594,91527336;108,64500;5,50;5079800000000;0,950072606962065;3915390,70431862;103,6268289495110;0,21;1,93420e+12
2011-06-01;28,0758;1,070442226397648;15741910,12451157;108,89490;5,50;5192200000000;0,966269312835400;3971412,13377942;103,5158480295150;0,22;1,95410e+12
2011-07-01;27,6796;1,049076887731647;15745583,59999957;108,88400;5,50;5306600000000;0,950420695683124;3927582,99999931;103,6075677981060;0,24;1,99450e+12
2011-08-01;28,8569;1,119086264590248;16219071,79330252;108,62270;5,50;5343000000000;0,958757425116691;3991103,75616282;103,8932748772670;0,29;2,10190e+12
2011-09-01;31,8751;1,108213208119607;16516550,59546253;108,57920;5,25;5420400000000;0,961071375596614;4005422,02190625;104,0510328792440;0,33;2,09910e+12
2011-10-01;29,8977;1,150354695649131;16908795,39999980;109,10040;5,25;5420100000000;0,975039258962933;4014287,99999995;103,8364086207410;0,37;2,12810e+12
2011-11-01;31,3216;1,144741295413159;17285685,42167937;109,55860;5,25;5475200000000;0,987062485137958;3978513,62740210;103,7488162417370;0,41;2,16440e+12
2011-12-01;32,1961;1,180851876864018;18447818,54556492;110,04070;5,25;5938600000000;0,996812258801101;3966026,11287826;103,4929180873680;0,49;2,20810e+12
2012-01-01;30,3647;1,121412480593948;15182776,39999981;110,59090;5,25;5670700000000;0,991840125835749;3960259,00000036;103,9483067384220;0,40;2,20920e+12
2012-02-01;28,9503;1,126245190932825;15866782,13945549;111,00010;5,25;5713000000000;0,994379159232031;4002947,70923788;104,4059883836910;0,30;2,19450e+12
2012-03-01;29,3282;1,096582678033819;16902791,56753879;111,64390;5,25;5704300000000;0,999345285395334;4042896,91106817;105,1989057831610;0,29;2,24600e+12
2012-04-01;29,3627;1,119494571513445;16435995,60000021;111,99000;5,25;5831500000000;0,997163997746842;4047164,99999992;105,5167147813290;0,29;2,26860e+12
2012-05-01;32,4509;1,135394467513455;16907725,90290837;112,57230;5,25;5856400000000;0,994176970595423;4072389,28044631;105,3928930937310;0,29;2,24840e+12
2012-06-01;32,8169;1,098291081949001;17406529,82113153;113,57420;5,25;6003900000000;1,003172809265469;4140183,56375395;105,2383452836550;0,32;2,27100e+12
2012-07-01;32,1900;1,110639020874000;17715787,89999992;114,97120;5,25;5976300000000;0,979578380311330;4086345,99999976;105,0668293163900;0,30;2,31460e+12
2012-08-01;32,2934;1,128312445903982;18301495,93303553;115,08610;5,25;5980000000000;0,977749340258101;4153103,31862936;105,6515428411570;0,26;2,33460e+12
2012-09-01;30,9169;1,080262927950788;18183186,43688758;115,71910;5,50;5969200000000;0,976134642842022;4164071,48840299;106,1229824517150;0,24;2,35800e+12
2012-10-01;31,5252;1,096364355572763;18768889,70000014;116,25140;5,50;5931300000000;0,987274735770768;4160200,99999987;106,0817085558490;0,23;2,41620e+12
2012-11-01;31,0565;1,084661578410134;19183236,84460087;116,64670;5,50;5975400000000;1,002585458639726;4128148,47852748;105,5790842239700;0,23;2,41520e+12
2012-12-01;30,3727;1,105812567192082;19990206,14090821;117,27660;8,25;6430100000000;1,004761737161555;4102895,70108546;105,2947529413380;0,24;2,50970e+12
2013-01-01;30,0277;1,047912960139637;16370002,90000055;118,41420;8,25;6078900000000;0,993747750206942;4065317,99999940;105,6061415557050;0,23;2,48130e+12
2013-02-01;30,6202;1,026536213467906;16722220,21214987;119,07730;8,25;6140900000000;0,987123568147643;4113614,66316796;106,4710589735180;0,22;2,45570e+12
2013-03-01;31,0834;1,038184912395565;18225229,69380022;119,48210;8,25;6181400000000;0,985657977198151;4159179,64629966;106,7494284711920;0,21;2,49720e+12
2013-04-01;31,2559;1,020818911925477;17507881,79999977;120,09150;8,25;6353500000000;0,982033028625241;4177428,00000023;106,6384475511970;0,20;2,54230e+12
2013-05-01;31,5893;1,045397631722314;18286213,57341076;120,88410;8,25;6348800000000;0,984134483593963;4216093,01240849;106,8283074721800;0,20;2,51850e+12
2013-06-01;32,7090;1,002070248290475;18536531,98910680;121,39180;8,25;6470300000000;0,999851776004542;4298139,66809593;107,0846642253920;0,19;2,52350e+12
2013-07-01;32,8901;1,020245190838389;19003469,30000019;122,38720;8,25;6480100000000;0,979057330878871;4249371,00000084;107,1268553189440;0,14;2,54370e+12
2013-08-01;33,2474;0,999295875156932;18959752,92219122;122,55860;8,25;6509800000000;0,984727946268229;4334947,14964595;107,2557215938140;0,12;2,53740e+12
2013-09-01;32,3451;0,998605987708929;19525280,44061022;122,81590;5,50;6414400000000;0,982669854531553;4343893,88657127;107,3804604790980;0,11;2,55580e+12
2013-10-01;32,0613;1,015938599544045;20104347,10000014;123,51600;5,50;6419000000000;0,998002638659358;4351080,99999952;107,1039253767960;0,12;2,61840e+12
2013-11-01;33,1916;1,039541437044753;20915347,64427825;124,20770;5,50;6564100000000;1,004295716892481;4303287,40861257;106,8851737287070;0,12;2,60720e+12
2013-12-01;32,7292;1,080670973146340;22254360,21668468;124,84110;5,50;6985600000000;0,997384784647986;4255554,29293697;106,8760017518480;0,14;2,71570e+12
